                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4816,                 6.4759,                 1.1213,                0.12122,                0.10993,                0.06128,                  0.019,                   1.93,                 8.1531,                 1.2744,                 0.0905,                 0.0005,                 0.0005
                      2,                 1.2667,                 2.6875,                 1.0977,                0.08432,                0.83874,                0.10585,                0.04801,                 1.2763,                    inf,                0.98286,               0.080008,              0.0010084,              0.0010084
                      3,                 1.1765,                 1.6261,                 1.0412,                0.00443,                0.07292,                0.00259,                0.00119,                 2.8415,                    inf,                 3.7169,               0.069473,              0.0014733,              0.0014733
                      4,                  1.225,                 1.4406,                 1.0582,                0.31704,                0.11775,                0.02543,                0.02127,                 2.8456,                    inf,                 2.7818,               0.058895,              0.0018946,              0.0018946
                      5,                 1.1068,                 1.1429,                 1.0461,                0.31704,                0.11775,                0.02543,                0.02127,                 4.3943,                    inf,                 22.474,               0.048272,              0.0022723,              0.0022723
                      6,                 1.1072,                0.99865,                 1.0586,                 0.3334,                0.01064,                  3e-05,                  1e-05,                 4.6804,                    inf,                 8.0875,               0.037607,              0.0026065,              0.0026065
                      7,                 1.0326,                0.98403,                 1.0255,                0.16402,                0.16135,                 0.0847,                0.05369,                 4.6027,                    inf,                 18.381,               0.026897,              0.0028971,              0.0028971
                      8,                 1.0626,                0.93512,                 1.0409,                0.54746,                0.70304,                0.54383,                0.37798,                 1.6132,                    inf,                 1.3194,               0.016144,              0.0031442,              0.0031442
                      9,                 1.0294,                0.84534,                 1.0221,                0.69766,                0.93307,                0.69645,                0.51512,                 1.3586,                 35.751,                 1.0657,              0.0053477,              0.0033477,              0.0033477
                     10,                 1.0768,                0.79507,                 1.0469,                0.72627,                0.92197,                0.72535,                0.54641,                 1.2852,                 8.7094,                 1.0553,               0.003218,               0.003218,               0.003218
                     11,                0.98315,                0.70575,                 1.0391,                0.67425,                0.86215,                0.66062,                0.51172,                 1.5002,                 59.745,                 1.2958,               0.003218,               0.003218,               0.003218
                     12,                0.99895,                0.66612,                 1.0204,                0.84761,                0.93697,                0.91113,                0.60881,                 1.2051,                 2.3783,                 1.0228,                0.00302,                0.00302,                0.00302
                     13,                0.94997,                0.65986,                0.98605,                0.90067,                0.95161,                0.94866,                0.69291,                  1.184,                 2.0246,                0.98468,               0.002822,               0.002822,               0.002822
                     14,                0.98939,                0.65444,                 1.0155,                0.93395,                0.89875,                0.96924,                0.68948,                 1.1568,                 1.4806,                 1.0114,               0.002624,               0.002624,               0.002624
                     15,                 1.0012,                0.60902,                 1.0318,                0.96714,                0.95996,                0.97466,                0.70531,                 1.1634,                 1.1492,                0.96646,               0.002426,               0.002426,               0.002426
                     16,                0.99515,                0.59805,                  1.038,                0.96041,                0.96164,                0.96506,                0.71119,                 1.2148,                0.89524,                0.97189,               0.002228,               0.002228,               0.002228
                     17,                0.95661,                0.57612,                0.98677,                0.94757,                0.87917,                0.91475,                0.68007,                 1.4054,                0.90598,                 1.0003,                0.00203,                0.00203,                0.00203
                     18,                0.98041,                0.59596,                 1.0153,                0.95455,                0.95745,                 0.9809,                0.73108,                 1.1641,                0.77248,                 0.9699,               0.001832,               0.001832,               0.001832
                     19,                0.96844,                0.60335,                 1.0494,                0.97792,                0.99253,                0.98945,                0.75287,                 1.0683,                0.70923,                0.96079,               0.001634,               0.001634,               0.001634
                     20,                 0.9758,                0.57992,                 1.0563,                0.94831,                0.99291,                0.98192,                0.75891,                 1.0387,                 0.6405,                0.95793,               0.001436,               0.001436,               0.001436
                     21,                0.91408,                0.54412,                 1.0438,                 0.9637,                0.97872,                 0.9896,                0.74885,                 1.0457,                0.61082,                0.96133,               0.001238,               0.001238,               0.001238
                     22,                0.92507,                0.56315,                 1.0537,                0.98141,                0.98936,                0.99162,                0.75735,                 1.0296,                0.63712,                0.94756,                0.00104,                0.00104,                0.00104
                     23,                0.92243,                0.51371,                 1.0237,                0.98229,                0.99291,                0.99201,                0.77196,                 1.0039,                0.54053,                0.94278,               0.000842,               0.000842,               0.000842
                     24,                0.90842,                0.51746,                 1.0015,                0.98859,                0.99037,                0.99227,                0.77456,                0.98956,                 0.5362,                0.93319,               0.000644,               0.000644,               0.000644
                     25,                0.92832,                0.49011,                 1.0389,                0.98966,                0.99284,                0.99205,                0.77717,                0.98767,                0.53578,                0.93391,               0.000446,               0.000446,               0.000446
